movie,return_ratio,year,tconst,genres,studio,averagerating,numvotes
Transformers: Dark of the Moon,6.570159415384615,2011,tt1399103,Action,P/DW,6.2,366409
Transformers: Dark of the Moon,6.570159415384615,2011,tt1399103,Adventure,P/DW,6.2,366409
Transformers: Dark of the Moon,6.570159415384615,2011,tt1399103,Sci-Fi,P/DW,6.2,366409
Jack the Giant Slayer,0.3480779794871795,2013,tt1351685,Adventure,WB (NL),6.3,123127
Jack the Giant Slayer,0.3480779794871795,2013,tt1351685,Fantasy,WB (NL),6.3,123127
Star Trek Into Darkness,2.6640012894736844,2013,tt1408101,Action,Par.,7.7,445535
Star Trek Into Darkness,2.6640012894736844,2013,tt1408101,Adventure,Par.,7.7,445535
Star Trek Into Darkness,2.6640012894736844,2013,tt1408101,Sci-Fi,Par.,7.7,445535
World War Z,2.8624966368421054,2013,tt0816711,Action,Par.,7.0,553751
World War Z,2.8624966368421054,2013,tt0816711,Adventure,Par.,7.0,553751
World War Z,2.8624966368421054,2013,tt0816711,Horror,Par.,7.0,553751
Pacific Rim,1.6989779578947368,2013,tt1663662,Action,WB,6.9,443667
Pacific Rim,1.6989779578947368,2013,tt1663662,Adventure,WB,6.9,443667
Pacific Rim,1.6989779578947368,2013,tt1663662,Sci-Fi,WB,6.9,443667
The Good Dinosaur,1.4365768373333334,2015,tt1979388,Adventure,BV,6.7,91465
The Good Dinosaur,1.4365768373333334,2015,tt1979388,Animation,BV,6.7,91465
The Good Dinosaur,1.4365768373333334,2015,tt1979388,Comedy,BV,6.7,91465
Brave,3.280479535135135,2012,tt1217209,Adventure,BV,7.1,338728
Brave,3.280479535135135,2012,tt1217209,Animation,BV,7.1,338728
Brave,3.280479535135135,2012,tt1217209,Comedy,BV,7.1,338728
Kong: Skull Island,2.941215518918919,2017,tt3731562,Action,WB,6.6,237720
Kong: Skull Island,2.941215518918919,2017,tt3731562,Adventure,WB,6.6,237720
Kong: Skull Island,2.941215518918919,2017,tt3731562,Fantasy,WB,6.6,237720
Star Trek Beyond,1.673786881081081,2016,tt2660888,Action,Par.,7.1,209844
Star Trek Beyond,1.673786881081081,2016,tt2660888,Adventure,Par.,7.1,209844
Star Trek Beyond,1.673786881081081,2016,tt2660888,Sci-Fi,Par.,7.1,209844
Blade Runner 2049,0.8995219837837838,2017,tt1856101,Drama,WB,8.0,376241
Blade Runner 2049,0.8995219837837838,2017,tt1856101,Mystery,WB,8.0,376241
Blade Runner 2049,0.8995219837837838,2017,tt1856101,Sci-Fi,WB,8.0,376241
Thor: Ragnarok,5.455768405555555,2017,tt3501632,Action,BV,7.9,482995
Thor: Ragnarok,5.455768405555555,2017,tt3501632,Adventure,BV,7.9,482995
Thor: Ragnarok,5.455768405555555,2017,tt3501632,Comedy,BV,7.9,482995
Maleficent,4.5552447944444445,2014,tt1587310,Action,BV,7.0,305832
Maleficent,4.5552447944444445,2014,tt1587310,Adventure,BV,7.0,305832
Maleficent,4.5552447944444445,2014,tt1587310,Family,BV,7.0,305832
The Legend of Tarzan,1.6419171444444445,2016,tt0918940,Action,WB,6.3,150154
The Legend of Tarzan,1.6419171444444445,2016,tt0918940,Adventure,WB,6.3,150154
The Legend of Tarzan,1.6419171444444445,2016,tt0918940,Drama,WB,6.3,150154
Hugo,0.41062383888888887,2011,tt0970179,Adventure,Par.,7.5,284869
Hugo,0.41062383888888887,2011,tt0970179,Drama,Par.,7.5,284869
Hugo,0.41062383888888887,2011,tt0970179,Family,Par.,7.5,284869
Valerian and the City of a Thousand Planets,0.4198762555555556,2017,tt2239822,Action,STX,6.5,139792
Valerian and the City of a Thousand Planets,0.4198762555555556,2017,tt2239822,Adventure,STX,6.5,139792
Valerian and the City of a Thousand Planets,0.4198762555555556,2017,tt2239822,Fantasy,STX,6.5,139792
Jupiter Ascending,0.28192758659217876,2015,tt1617661,Action,WB,5.3,166327
Jupiter Ascending,0.28192758659217876,2015,tt1617661,Adventure,WB,5.3,166327
Jupiter Ascending,0.28192758659217876,2015,tt1617661,Sci-Fi,WB,5.3,166327
X-Men: Apocalypse,2.921236151685393,2016,tt3385516,Action,Fox,7.0,356556
X-Men: Apocalypse,2.921236151685393,2016,tt3385516,Adventure,Fox,7.0,356556
X-Men: Apocalypse,2.921236151685393,2016,tt3385516,Sci-Fi,Fox,7.0,356556
The Meg,2.7919913314606744,2018,tt4779682,Action,WB,5.7,114042
The Meg,2.7919913314606744,2018,tt4779682,Horror,WB,5.7,114042
The Meg,2.7919913314606744,2018,tt4779682,Sci-Fi,WB,5.7,114042
Edge of Tomorrow,1.6446489438202248,2014,tt1631867,Action,WB,7.9,546284
Edge of Tomorrow,1.6446489438202248,2014,tt1631867,Sci-Fi,WB,7.9,546284
Inside Out,5.918272588571429,2015,tt2096673,Adventure,BV,8.2,536181
Inside Out,5.918272588571429,2015,tt2096673,Animation,BV,8.2,536181
Inside Out,5.918272588571429,2015,tt2096673,Comedy,BV,8.2,536181
Spider-Man: Homecoming,5.9392428,2017,tt2250912,Action,Sony,7.5,426302
Spider-Man: Homecoming,5.9392428,2017,tt2250912,Adventure,Sony,7.5,426302
Spider-Man: Homecoming,5.9392428,2017,tt2250912,Sci-Fi,Sony,7.5,426302
Suicide Squad,5.120913948571428,2016,tt1386697,Action,WB,6.0,533039
Suicide Squad,5.120913948571428,2016,tt1386697,Adventure,WB,6.0,533039
Suicide Squad,5.120913948571428,2016,tt1386697,Fantasy,WB,6.0,533039
Coco,4.758480662857143,2017,tt2380307,Adventure,BV,8.4,277194
Coco,4.758480662857143,2017,tt2380307,Animation,BV,8.4,277194
Coco,4.758480662857143,2017,tt2380307,Comedy,BV,8.4,277194
Cars 3,2.0653856228571428,2017,tt3606752,Adventure,BV,6.8,59408
Cars 3,2.0653856228571428,2017,tt3606752,Animation,BV,6.8,59408
Cars 3,2.0653856228571428,2017,tt3606752,Comedy,BV,6.8,59408
King Arthur: Legend of the Sword,0.021745154285714285,2017,tt1972591,Action,WB,6.8,169054
King Arthur: Legend of the Sword,0.021745154285714285,2017,tt1972591,Adventure,WB,6.8,169054
King Arthur: Legend of the Sword,0.021745154285714285,2017,tt1972591,Drama,WB,6.8,169054
47 Ronin,0.08616737142857143,2013,tt1335975,Action,Uni.,6.3,135754
47 Ronin,0.08616737142857143,2013,tt1335975,Adventure,Uni.,6.3,135754
47 Ronin,0.08616737142857143,2013,tt1335975,Drama,Uni.,6.3,135754
Jurassic World: Fallen Kingdom,9.13819152352941,2018,tt4881806,Action,Uni.,6.2,219125
Jurassic World: Fallen Kingdom,9.13819152352941,2018,tt4881806,Adventure,Uni.,6.2,219125
Jurassic World: Fallen Kingdom,9.13819152352941,2018,tt4881806,Sci-Fi,Uni.,6.2,219125
Guardians of the Galaxy,5.494350752941177,2014,tt2015381,Action,BV,8.1,948394
Guardians of the Galaxy,5.494350752941177,2014,tt2015381,Adventure,BV,8.1,948394
Guardians of the Galaxy,5.494350752941177,2014,tt2015381,Comedy,BV,8.1,948394
Iron Man 2,4.491704235294118,2010,tt1228705,Action,Par.,7.0,657690
Iron Man 2,4.491704235294118,2010,tt1228705,Adventure,Par.,7.0,657690
Iron Man 2,4.491704235294118,2010,tt1228705,Sci-Fi,Par.,7.0,657690
Captain America: The Winter Soldier,4.7302873352941175,2014,tt1843866,Action,BV,7.8,666252
Captain America: The Winter Soldier,4.7302873352941175,2014,tt1843866,Adventure,BV,7.8,666252
Captain America: The Winter Soldier,4.7302873352941175,2014,tt1843866,Sci-Fi,BV,7.8,666252
Dawn of the Planet of the Apes,4.4070009117647055,2014,tt2103281,Action,Fox,7.6,390199
Dawn of the Planet of the Apes,4.4070009117647055,2014,tt2103281,Adventure,Fox,7.6,390199
Dawn of the Planet of the Apes,4.4070009117647055,2014,tt2103281,Drama,Fox,7.6,390199
Snow White and the Huntsman,2.271520594117647,2012,tt1735898,Action,Uni.,6.1,258938
Snow White and the Huntsman,2.271520594117647,2012,tt1735898,Adventure,Uni.,6.1,258938
Snow White and the Huntsman,2.271520594117647,2012,tt1735898,Drama,Uni.,6.1,258938
Tomorrowland,0.7650814117647059,2015,tt1964418,Action,BV,6.4,161343
Tomorrowland,0.7650814117647059,2015,tt1964418,Adventure,BV,6.4,161343
