title,year,popularity,vote_average,vote_count
Come Undone,2010,6.53,5.6,49
The Prince & Me 4: The Elephant Adventure,2010,6.523,5.5,37
Inception: The Cobol Job,2010,6.516,7.4,227
Beautiful Kate,2010,6.481,6.1,29
Super Hybrid,2010,6.474,5.1,35
Gasland,2010,6.468,7.5,80
Mega Piranha,2010,6.457,2.9,78
Chain Letter,2010,6.44,4.1,63
Dog Pound,2010,6.428,7.6,177
The Joneses,2010,6.424,6.2,312
Red Riding: In the Year of Our Lord 1983,2010,6.423,7.0,70
Lake Placid 3,2010,6.411,4.4,68
I'm Still Here,2010,6.386,6.0,179
The Boy Who Cried Werewolf,2010,6.372,6.0,123
Hubble 3D,2010,6.346,7.1,54
Jesse Stone: No Remorse,2010,6.324,6.8,34
"Ultramarines: A Warhammer 40,000 Movie",2010,6.322,5.2,50
Single By Contract,2010,6.32,6.9,104
Professor Layton and the Eternal Diva,2010,6.308,7.7,78
Altitude,2010,6.305,4.9,119
Extraordinary Measures,2010,6.3,6.3,153
The Tempest,2010,6.3,5.8,52
Tokyo Mater,2008,6.29,6.0,41
The Women on the 6th Floor,2010,6.281,6.7,183
Red Hill,2010,6.269,6.1,79
White Material,2010,6.262,7.1,57
Den Brother,2010,6.234,6.0,56
Max Manus: Man of War,2010,6.23,7.1,114
Cemetery Junction,2010,6.225,6.6,116
You Will Meet a Tall Dark Stranger,2010,6.209,5.8,431
Milf,2010,6.198,4.1,41
Paris Express,2010,6.195,4.9,74
Love Ranch,2010,6.185,6.1,28
Sintel,2010,6.157,7.6,99
Terkel in Trouble,2010,6.135,6.4,39
Beautiful Lies,2010,6.092,5.8,70
The Perfect Host,2010,6.088,6.3,217
"Waiting for ""Superman""",2010,6.068,7.0,70
Kites,2010,6.058,5.8,67
Kaboom,2010,6.052,5.7,175
Boy Wonder,2010,6.036,6.6,77
Leaves of Grass,2010,5.996,6.0,214
Five Minarets in New York,2010,5.994,5.7,49
With Love... from the Age of Reason,2010,5.982,5.3,64
Birdemic: Shock and Terror,2010,5.961,2.0,152
Please Give,2010,5.945,6.3,81
Skateland,2011,5.938,5.4,16
Cropsey,2009,5.925,6.0,90
Guzaarish,2010,5.919,7.6,52
Giallo,2010,5.854,4.0,64
A Dangerous Man,2010,5.853,5.1,53
Grotesque,2010,5.828,5.3,69
FRED: The Movie,2010,5.807,5.0,81
Repeaters,2010,5.801,5.7,75
Scooby-Doo! Abracadabra-Doo,2010,5.787,6.8,58
Scrat's Continental Crack-Up,2010,5.784,6.9,67
The Keeper,2010,5.779,5.3,42
High School,2010,5.762,5.8,68
Amer,2010,5.749,6.6,59
"My Son, My Son, What Have Ye Done",2010,5.74,6.1,85
Legendary Assassin,2010,5.716,6.2,33
Freakonomics,2010,5.705,6.6,57
Rare Exports: A Christmas Tale,2010,5.704,6.5,233
Hunt to Kill,2010,5.673,5.1,60
DC Showcase: Jonah Hex,2010,5.646,6.8,38
The Clinic,2010,5.62,5.2,59
When You're Strange,2010,5.582,7.6,85
Seven Days,2010,5.575,6.3,76
The Cry of the Owl,2010,5.572,5.6,46
The Last Circus,2011,5.552,6.7,177
Red Riding: In the Year of Our Lord 1980,2010,5.499,7.1,73
Babies,2010,5.45,7.0,77
Home Makeover,2010,5.45,6.9,89
Friendship!,2010,5.442,6.6,76
Nude Nuns with Big Guns,2010,5.429,4.2,55
Sherlock Holmes,2010,5.39,5.6,53
Happy People: A Year in the Taiga,2010,5.38,7.7,65
Udaan,2010,5.376,7.2,83
Wild Things: Foursome,2010,5.371,5.0,36
2001 Maniacs: Field of Screams,2010,5.364,4.0,31
El Materdor,2010,5.352,5.7,24
An Invisible Sign,2010,5.342,5.1,58
Time Traveller: The Girl Who Leapt Through Time,2010,5.319,6.3,26
A Horrible Way to Die,2010,5.316,5.2,36
Christmas Cupid,2010,5.281,5.8,107
Golmaal 3,2010,5.278,5.4,34
Vincere,2010,5.254,6.5,54
Dinocroc vs. Supergator,2010,5.247,4.0,22
Princess Ka'iulani,2010,5.239,5.1,22
Father of Invention,2010,5.238,5.4,70
Virginia,2010,5.236,5.8,24
The Bone Man,2010,5.223,7.3,43
Sinners and Saints,2010,5.223,5.6,42
Every Day,2010,5.22,5.5,46
Locked Down,2010,5.2,4.1,15
Essential Killing,2010,5.177,5.7,73
The Reef,2010,5.173,5.6,264
Plan B,2010,5.164,7.2,45
The Pregnancy Pact,2010,5.162,4.8,78
Barry Munday,2010,5.141,6.0,37
Hole in One,2010,5.105,3.9,54
The Making of The Walking Dead,2010,5.084,8.0,82
Bloodworth,2010,5.076,6.3,18
The Good Witch's Gift,2010,5.071,6.9,37
The Extra Man,2010,5.056,5.9,46
Moon Mater,2010,5.036,5.7,18
Our Family Wedding,2010,5.025,5.5,57
Hooked on the Game 2. The Next Level,2010,5.006,5.2,21
Icarus,2010,5.002,5.2,42
Love Crime,2010,4.99,6.5,45
Once Fallen,2010,4.963,4.8,14
The Perfect Game,2010,4.958,6.3,44
How I Ended This Summer,2010,4.92,6.1,52
Flicka 2,2010,4.899,5.9,48
Stag Night,2010,4.892,4.8,34
Red: Werewolf Hunter,2010,4.89,4.2,31
Gun,2010,4.873,5.5,45
I'm Here,2010,4.851,7.2,82
Lost Boys: The Thirst,2010,4.851,5.3,61
The Virginity Hit,2010,4.834,4.6,35
Group Sex,2010,4.8,5.4,34
Little Rose,2010,4.743,7.0,16
Inadequate People,2010,4.701,7.2,35
Khatta Meetha,2010,4.677,4.9,21
Brotherhood,2010,4.648,7.5,35
