id,movie,production_budget,domestic_gross,worldwide_gross,year,month,return_ratio
28,Doctor Strange,165000000.0,232641920.0,676404566.0,2016,November,4.509372642424243
29,Big Hero 6,165000000.0,222527828.0,652127828.0,2014,November,4.30094336969697
30,How to Train Your Dragon,165000000.0,217581232.0,494870992.0,2010,March,3.3178922666666666
31,Wreck-It Ralph,165000000.0,189412677.0,496511521.0,2012,November,3.1571163515151515
32,Interstellar,165000000.0,188017894.0,666379375.0,2014,November,4.178165266666666
33,Independence Day: Resurgence,165000000.0,103144286.0,384169424.0,2016,June,1.9534164242424243
34,Cowboys and Aliens,163000000.0,100368560.0,176038324.0,2011,July,0.695747754601227
35,Beauty and the Beast,160000000.0,504014165.0,1259199706.0,2017,March,10.02008669375
36,Aquaman,160000000.0,335061807.0,1146894640.0,2018,December,8.26222779375
37,Shrek the Third,160000000.0,322719944.0,807330936.0,2007,May,6.062818
38,Inception,160000000.0,292576195.0,835524642.0,2010,July,6.05063023125
39,The Hunger Games: Mockingjay - Part 2,160000000.0,281723902.0,648986787.0,2015,November,4.81694180625
40,Fast and Furious 6,160000000.0,238679850.0,789300444.0,2013,May,5.4248768375
41,Godzilla,160000000.0,200676069.0,529076069.0,2014,May,3.5609508625
42,X-Men: First Class,160000000.0,146408305.0,355408305.0,2011,June,2.1363538125
43,The Curious Case of Benjamin Button,160000000.0,127509326.0,329631958.0,2008,December,1.857133025
44,The Sorcerer's Apprentice,160000000.0,63150991.0,217986320.0,2010,July,0.75710819375
45,Poseidon,160000000.0,60674817.0,181674817.0,2006,May,0.5146852125
46,Warcraft,160000000.0,47225655.0,425522281.0,2016,June,1.9546746
47,Deepwater Horizon,156000000.0,61433527.0,122603824.0,2016,September,0.17972660897435896
48,The Chronicles of Narnia: The Voyage of the Dawn Treader,155000000.0,104386950.0,418186950.0,2010,December,2.3714445161290323
49,Terminator: Genisys,155000000.0,89760956.0,432150894.0,2015,July,2.3671732258064515
50,Pacific Rim: Uprising,155000000.0,59874525.0,290930148.0,2018,March,1.2632559548387097
51,Alexander,155000000.0,34297191.0,167297191.0,2004,November,0.30060891612903223
52,War for the Planet of the Apes,152000000.0,146880162.0,489592267.0,2017,July,3.1873186118421053
53,Pearl Harbor,151500000.0,198539855.0,449239855.0,2001,May,3.2757736633663366
54,Transformers,151000000.0,319246193.0,708272592.0,2007,July,5.8047601655629135
55,Wonder Woman,150000000.0,412563408.0,821133378.0,2017,June,7.22464524
56,Frozen,150000000.0,400738009.0,1272469910.0,2013,November,10.15471946
57,Zootopia,150000000.0,341268248.0,1019429616.0,2016,March,8.071319093333333
58,Harry Potter and the Order of the Phoenix,150000000.0,292137260.0,943076457.0,2007,July,7.234758113333333
59,Harry Potter and the Goblet of Fire,150000000.0,290201752.0,897099794.0,2005,November,6.91534364
60,The Matrix Reloaded,150000000.0,281553689.0,738576929.0,2003,May,5.800870786666667
61,I am Legend,150000000.0,256393010.0,585532684.0,2007,December,4.61283796
62,Moana,150000000.0,248757044.0,637517365.0,2016,November,4.90849606
63,Hancock,150000000.0,227946274.0,624234272.0,2008,July,4.68120364
64,Charlie and the Chocolate Factory,150000000.0,206459076.0,475825484.0,2005,July,3.5485637333333333
65,Ratatouille,150000000.0,206445654.0,626549695.0,2007,June,4.553302326666667
66,Thor: The Dark World,150000000.0,206362140.0,644602516.0,2013,November,4.673097706666667
67,Batman Begins,150000000.0,205343774.0,359142722.0,2005,June,2.763243306666667
68,Mission: ImpossibleâRogue Nation,150000000.0,195042377.0,688858992.0,2015,July,4.892675793333333
69,Dunkirk,150000000.0,190068280.0,499837368.0,2017,July,3.5993709866666665
70,Thor,150000000.0,181030624.0,449326618.0,2011,May,3.2023816133333334
71,Madagascar: Escape 2 Africa,150000000.0,180174880.0,599680774.0,2008,November,4.1990376933333335
72,X-Men Origins: Wolverine,150000000.0,179883157.0,374825760.0,2009,May,2.6980594466666665
73,Night at the Museum: Battle of the Smithsonian,150000000.0,177243721.0,402231063.0,2009,May,2.8631652266666667
74,Kung Fu Panda 2,150000000.0,165249063.0,664837547.0,2011,May,4.533910733333333
75,Mad Max: Fury Road,150000000.0,153636354.0,370098020.0,2015,May,2.4915624933333334
76,PokÃ©mon: Detective Pikachu,150000000.0,139507806.0,411258433.0,2019,May,2.6717749266666666
77,The Matrix Revolutions,150000000.0,139270910.0,427300260.0,2003,November,2.777141133333333
78,Ready Player One,150000000.0,137690172.0,579290136.0,2018,March,3.77986872
79,Chicken Little,150000000.0,135386665.0,310043823.0,2005,November,1.9695365866666668
80,Mission: Impossible III,150000000.0,133501348.0,397501348.0,2006,May,2.5400179733333332
81,Angels & Demons,150000000.0,133375846.0,490875846.0,2009,May,3.1616779466666665
82,Troy,150000000.0,133298577.0,484161265.0,2004,May,3.1163989466666666
83,The Last Airbender,150000000.0,131772187.0,319713881.0,2010,July,2.00990712
84,Bee Movie,150000000.0,126631277.0,287594577.0,2007,November,1.7615056933333333
85,G-Force,150000000.0,119436770.0,292817841.0,2009,July,1.7483640733333334
86,Bolt,150000000.0,114053579.0,328015029.0,2008,November,1.9471240533333334
