movie,return_ratio,year,tconst,genres,studio
Rise of the Guardians,1.8297493793103448,2012,tt1446192,"Action,Adventure,Animation",P/DW
Captain America: The First Avenger,2.908744864285714,2011,tt0458339,"Action,Adventure,Sci-Fi",Par.
Kung Fu Panda 3,3.72234115,2016,tt2267968,"Action,Adventure,Animation",Fox
G.I. Joe: Retaliation,2.5590268928571427,2013,tt1583421,"Action,Adventure,Sci-Fi",Par.
Exodus: Gods and Kings,1.3809216142857144,2014,tt1528100,"Action,Adventure,Drama",Fox
The BFG,0.8223603571428572,2016,tt3691740,"Adventure,Family,Fantasy",BV
Gods of Egypt,0.21421585714285715,2016,tt2404233,"Action,Adventure,Fantasy",LG/S
The Croods,4.631384074074074,2013,tt0481499,"Action,Adventure,Animation",Fox
The Revenant,4.307971822222222,2015,tt1663202,"Action,Adventure,Biography",Fox
Rango,1.734831162962963,2011,tt1192628,"Adventure,Animation,Comedy",Par.
Turbo,1.7401830222222223,2013,tt1860353,"Adventure,Animation,Comedy",Fox
Teenage Mutant Ninja Turtles: Out of the Shadows,1.425036851851852,2016,tt3949660,"Action,Adventure,Comedy",Par.
Happy Feet Two,0.6441698666666666,2011,tt1402488,"Adventure,Animation,Comedy",WB
The Nutcracker and the Four Realms,0.6941516177577126,2018,tt5523010,"Adventure,Family,Fantasy",BV
Penguins of Madagascar,2.4113139545454545,2014,tt1911658,"Adventure,Animation,Comedy",Fox
The Hunger Games: Catching Fire,8.919508415384616,2013,tt1951264,"Action,Adventure,Sci-Fi",LGF
Ant-Man and the Wasp,5.45994923076923,2018,tt5095030,"Action,Adventure,Comedy",BV
Ant-Man,4.377389323076923,2015,tt0478970,"Action,Adventure,Comedy",BV
Mary Poppins Returns,2.9498996615384616,2018,tt5028340,"Comedy,Family,Fantasy",BV
Puss in Boots,4.4172921615384615,2011,tt0448694,"Action,Adventure,Animation",P/DW
Megamind,2.617715853846154,2010,tt1001526,"Action,Animation,Comedy",P/DW
Rio 2,3.802959430769231,2014,tt2357291,"Adventure,Animation,Comedy",Fox
Salt,2.145860476923077,2010,tt0944835,"Action,Mystery,Thriller",Sony
Noah,2.4925469923076924,2014,tt1959490,"Action,Adventure,Drama",Par.
The Adventures of Tintin,2.473736784615385,2011,tt0983193,"Action,Adventure,Animation",Par.
After Earth,1.4001674,2013,tt1815862,"Action,Adventure,Drama",Sony
