title,studio,year
The LEGO Batman Movie,WB,2017
Annabelle: Creation,WB (NL),2017
Wonder,LGF,2017
Ferdinand,Fox,2017
Split,Uni.,2017
Blade Runner 2049,WB,2017
Get Out,Uni.,2017
Kung Fu Yoga,WGUSA,2017
Baahubali 2: The Conclusion,GrtIndia,2017
Journey to the West: The Demons Strike Back,Sony,2017
Alien: Covenant,Fox,2017
Baby Driver,TriS,2017
Valerian and the City of a Thousand Planets,STX,2017
Geostorm,WB,2017
The Emoji Movie,Sony,2017
A Dog's Purpose,Uni.,2017
Smurfs: The Lost Village,Sony,2017
The Shape of Water,FoxS,2017
Pitch Perfect 3,Uni.,2017
Daddy's Home 2,Par.,2017
The Post,Fox,2017
Baywatch,Par.,2017
The Hitman's Bodyguard,LG/S,2017
John Wick: Chapter Two,LG/S,2017
Ghost in the Shell (2017),Par.,2017
"Three Billboards Outside Ebbing, Missouri",FoxS,2017
Duckweed,CL,2017
Darkest Hour,Focus,2017
King Arthur: Legend of the Sword,WB,2017
The Foreigner,STX,2017
Power Rangers (2017),LGF,2017
Girls Trip,Uni.,2017
American Made,Uni.,2017
A Bad Moms Christmas,STX,2017
Captain Underpants: The First Epic Movie,Fox,2017
Happy Death Day,Uni.,2017
The LEGO Ninjago Movie,WB,2017
The Dark Tower,Sony,2017
Buddies in India,CL,2017
Leap!,Wein.,2017
Jigsaw,LGF,2017
Railroad Tigers,WGUSA,2017
Life (2017),Sony,2017
Atomic Blonde,Focus,2017
The Shack,LG/S,2017
Some Like It Hot (Qing Shung),CL,2017
Tiger Zinda Hai,Yash,2017
Going in Style (2017),WB (NL),2017
Rings,Par.,2017
A Taxi Driver,WGUSA,2017
Underworld: Blood Wars,SGem,2017
Lady Bird,A24,2017
American Assassin,LGF,2017
One Piece Film: Gold,FUN,2017
Victoria and Abdul,Focus,2017
The Nut Job 2: Nutty by Nature,ORF,2017
Monster Trucks,Par.,2017
The Mountain Between Us,Fox,2017
The Star,Sony,2017
How to be a Latin Lover,PNT,2017
"Everything, Everything",WB,2017
Snatched,Fox,2017
My Little Pony: The Movie,LGF,2017
Molly's Game,STX,2017
All the Money in the World,TriS,2017
The Big Sick,LGF,2017
Confidential Assignment,CJ,2017
Downsizing,Par.,2017
"I, Tonya",Neon,2017
Logan Lucky,BST,2017
Tyler Perry's Boo 2! A Madea Halloween,LGF,2017
Phantom Thread,Focus,2017
Rough Night,Sony,2017
The Battleship Island,CJ,2017
Flatliners (2017),Sony,2017
All Eyez on Me,LG/S,2017
mother!,Par.,2017
47 Meters Down,ENTMP,2017
The Snowman,Uni.,2017
Gifted,FoxS,2017
Loving Vincent,Good Deed,2017
Call Me by Your Name,SPC,2017
T2: Trainspotting,TriS,2017
Fist Fight,WB (NL),2017
Diary of a Wimpy Kid: The Long Haul,Fox,2017
The House,WB (NL),2017
Tad the Lost Explorer and the Secret of King Midas,ParC,2017
Wind River,Wein.,2017
Sleepless,ORF,2017
Kidnap (2017),Aviron,2017
The Disaster Artist,A24,2017
Hostiles,ENTMP,2017
The Beguiled (2017),Focus,2017
Home Again,ORF,2017
Judwaa 2,FIP,2017
CHiPs,WB,2017
The Bye Bye Man,STX,2017
A Cure for Wellness,Fox,2017
The Zookeeper's Wife,Focus,2017
Only The Brave,Sony,2017
Father Figures,WB,2017
Badrinath Ki Dulhania,FIP,2017
Born in China,BV,2017
The Founder,Wein.,2017
Jolly Llb 2,FIP,2017
The Glass Castle,LGF,2017
Sword Art Online: The Movie - Ordinal Scale,Elev.,2017
The Circle (2017),STX,2017
It Comes At Night,A24,2017
The Lost City of Z,BST,2017
Unforgettable (2017),WB,2017
The Case for Christ,PFR,2017
Detroit,Annapurna,2017
Wonder Wheel,Amazon,2017
Gold,Wein.,2017
The Space Between Us,STX,2017
Wish Upon,BG,2017
A United Kingdom,FoxS,2017
"Roman J. Israel, Esq.",Sony,2017
Mubarakan,Sony,2017
Battle of the Sexes,FoxS,2017
The Promise (2017),ORF,2017
Before I Fall,ORF,2017
Earth: One Amazing Day,BBC,2017
Thank You for Your Service (2017),Uni.,2017
Rock Dog,LG/S,2017
My Cousin Rachel,FoxS,2017
Truman,FR,2017
Stronger,RAtt.,2017
Tulip Fever,Wein.,2017
Viceroy's House,IFC,2017
Amityville: The Awakening,W/Dim.,2017
Just Getting Started,BG,2017
Beatriz At Dinner,RAtt.,2017
I am Not Your Negro,Magn.,2017
The Red Turtle,SPC,2017
From the Land of the Moon,IFC,2017
Maudie,SPC,2017
All Saints,Affirm,2017
The Florida Project,A24,2017
Suburbicon,Par.,2017
The Man Who Invented Christmas,BST,2017
Paris Can Wait,SPC,2017
Phillauri,FIP,2017
Ok Jaanu,FIP,2017
An Inconvenient Sequel: Truth to Power,Par.,2017
Table 19,FoxS,2017
Collide,ORF,2017
The Wall,RAtt.,2017
Mark Felt: The Man Who Brought Down the White House,SPC,2017
Terminator 2: Judgment Day 3D,Distrib.,2017
Brad's Status,Annapurna,2017
Friend Request,ENTMP,2017
Their Finest,STX,2017
Wonderstruck,RAtt.,2017
The Leisure Seeker,SPC,2017
Raw (2017),FCW,2017
Colossal,Neon,2017
A Gentleman,FIP,2017
Inhumans,Imax,2017
Kedi,Osci.,2017
The Only Living Boy in New York,RAtt.,2017
Hazlo Como Hombre (Do It Like An Hombre),PNT,2017
Poster Boys,Sony,2017
The Salesman,Cohen,2017
Pokemon the Movie: I Choose You!,Fathom,2017
Jeepers Creepers 3,Scre.,2017
Un Padre No Tan Padre,PNT,2017
Good Time,A24,2017
Everybody Loves Somebody,PNT,2017
Along with the Gods: The Two Worlds,WGUSA,2017
Youth (2017),CL,2017
Last Flag Flying,LGF,2017
A Quiet Passion,MBox,2017
Free Fire,A24,2017
The Last Word,BST,2017
Human Flow,Magn.,2017
Jane (2017),Abr.,2017
A Ghost Story,A24,2017
The Square,Magn.,2017
Patti Cake$,FoxS,2017
The Wedding Plan,RAtt.,2017
Personal Shopper,IFC,2017
Churchill,Cohen,2017
The Sense of an Ending,CBS,2017
3 Idiotas,PNT,2017
6 Below: Miracle on the Mountain,MOM,2017
Lady Macbeth,RAtt.,2017
Film Stars Don't Die in Liverpool,SPC,2017
Yu-Gi-Oh! The Dark Side of Dimensions,SV,2017
Lucky (2017),Magn.,2017
Faces Places,Cohen,2017
Tubelight,Yash,2017
Frantz,MBox,2017
BOMBSHELL: The Hedy Lamarr Story,Zeit.,2017
Walk With Me,Gathr,2017
Buena Vista Social Club: Adios,BG,2017
Titanic (20th Anniversary),Par.,2017
Lost in Paris,Osci.,2017
Shubh Mangal Saavdhan,Eros,2017
The Midwife,MBox,2017
3 Generations,Wein.,2017
Fairy Tail: Dragon Cry,FUN,2017
Our President,CJ,2017
Letters from Baghdad,Vita.,2017
Breathe (2017),BST,2017
Song to Song,BG,2017
Tom of Finland,KL,2017
God's Own Country,Orion,2017
The Breadwinner,GK,2017
A Silent Voice,Elev.,2017
My Life as a Zucchini,GK,2017
Happy End,SPC,2017
After the Storm,FM,2017
Wakefield,IFC,2017
"I, Daniel Blake",IFC,2017
Cezanne et moi,Magn.,2017
The Fortress,CJ,2017
Black Butler: Book of the Atlantic,FUN,2017
The Swindlers,WGUSA,2017
City of Ghosts,IFC,2017
The Prison,WGUSA,2017
The Other Side of Hope,Jan.,2017
Marjorie Prime,FR,2017
Graduation,IFC,2017
Mr. Gaga: A True Story of Love and Dance,Abr.,2017
In This Corner of the World,FUN,2017
David Lynch: The Art Life,Jan.,2017
13 Minutes,SPC,2017
The Journey,IFC,2017
The Void,Scre.,2017
Blade of the Immortal,Magn.,2017
Thelma,Orch.,2017
BPM (Beats Per Minute),Orch.,2017
Explosion,CL,2017
The King's Choice,Gold.,2017
Slack Bay,KL,2017
Like Crazy (2017),Strand,2017
Fabricated City,CJ,2017
The Lure,Jan.,2017
Score: A Film Music Documentary,Grav.,2017
Munna Michael,Eros,2017
The Mayor,WGUSA,2017
The Fencer,CFI,2017
Memoir of a Murderer,WGUSA,2017
The King's Case Note,CJ,2017
Warriors of the Dawn,FIP,2017
The Nile Hilton Incident,Strand,2017
Pop Aye,KL,2017
I Can Speak,CJ,2017
Tomorrow,UTMW,2017
Worlds Apart,CLS,2017
Extraordinary Mission,Crimson,2017
The Ornithologist,Strand,2017
Napping Princess,GK,2017
Twenty Two,CL,2017
Bluebeard,WGUSA,2017
One Week and a Day,Osci.,2017
The Commune,Magn.,2017
A Woman's Life,KL,2017
Afterimage,FM,2017
Alone in Berlin,IFC,2017
The Villainess,WGUSA,2017
The Daughter,KL,2017
Moscow Never Sleeps,CAVU,2017
My Scientology Movie,Magn.,2017
Una,EF,2017
Bending the Arc,Abr.,2017
The Girl Without Hands,GK,2017
Whisky Galore,Arrow,2017
RV: Resurrected Victims,WGUSA,2017
Better Watch Out,WGUSA,2017
Absolutely Anything,ADC,2017
Glory (2017),FM,2017
Porto,KL,2017
Brotherhood of Blades 2: The Infernal Battlefield,WGUSA,2017
Abracadabra,Sony,2017
Blind,VE,2017
Felicite,Strand,2017
Dead Awake (2017),FR,2017
The Country Doctor,Distrib.,2017
Overdrive,VE,2017
Suntan,Strand,2017
Trespass Against Us,A24,2017
The Ardennes,FM,2017
Oro,Sony,2017
Singularity,VE,2017
Emily (2017),Hiber,2017
Max & Leon,Distrib.,2017
2:22,Magn.,2017
Avengers: Infinity War,BV,2018
Black Panther,BV,2018
Jurassic World: Fallen Kingdom,Uni.,2018
Incredibles 2,BV,2018
Aquaman,WB,2018
Bohemian Rhapsody,Fox,2018
Venom (2018),Sony,2018
Mission: Impossible - Fallout,Par.,2018
Deadpool 2,Fox,2018
Fantastic Beasts: The Crimes of Grindelwald,WB,2018
Ant-Man and the Wasp,BV,2018
Ready Player One,WB,2018
Operation Red Sea,WGUSA,2018
Detective Chinatown 2,WB,2018
The Meg,WB,2018
Ralph Breaks the Internet,BV,2018
Hotel Transylvania 3: Summer Vacation,Sony,2018
Dr. Seuss' The Grinch (2018),Uni.,2018
Bumblebee,Par.,2018
A Star is Born (2018),WB,2018
Rampage (2018),WB (NL),2018
Mamma Mia! Here We Go Again,Uni.,2018
Solo: A Star Wars Story,BV,2018
Spider-Man: Into The Spider-Verse,Sony,2018
Fifty Shades Freed,Uni.,2018
The Nun,WB (NL),2018
Monster Hunt 2,LGF,2018
Peter Rabbit,Sony,2018
Mary Poppins Returns,BV,2018
A Quiet Place,Par.,2018
Green Book,Uni.,2018
Skyscraper,Uni.,2018
Ocean's 8,WB,2018
Pacific Rim Uprising,Uni.,2018
Maze Runner: The Death Cure,Fox,2018
Tomb Raider,WB,2018
Halloween (2018),Uni.,2018
Crazy Rich Asians,WB,2018
Paddington 2,WB,2018
Smallfoot,WB,2018
Creed II,MGM,2018
Disney's Christopher Robin,BV,2018
The Equalizer 2,Sony,2018
The Nutcracker and the Four Realms,BV,2018
The Mule,WB,2018
Insidious: The Last Key,Uni.,2018
The Predator (2018),Fox,2018
Johnny English Strikes Again,Uni.,2018
Red Sparrow,Fox,2018
The First Purge,Uni.,2018
A Wrinkle in Time,BV,2018
The House With A Clock In Its Walls,Uni.,2018
Instant Family,Par.,2018
The Commuter,LGF,2018
Game Night,WB (NL),2018
The Monkey King 3,WGUSA,2018
First Man,Uni.,2018
Night School (2018),Uni.,2018
Alpha,Studio 8,2018
A Simple Favor,LGF,2018
The Favourite,FoxS,2018
Truth or Dare,Uni.,2018
I Feel Pretty,STX,2018
Blockers,Uni.,2018
Goosebumps 2: Haunted Halloween,Sony,2018
BlacKkKlansman,Focus,2018
Overboard (2018),PNT,2018
Sherlock Gnomes,Par.,2018
Robin Hood (2018),LG/S,2018
Mortal Engines,Uni.,2018
How Long Will I Love U,WGUSA,2018
Den of Thieves,STX,2018
Hereditary,A24,2018
Tag,WB (NL),2018
Vice,Annapurna,2018
Widows,Fox,2018
Sicario: Day of the Soldado,Sony,2018
Searching,SGem,2018
The Spy Who Dumped Me,LGF,2018
Second Act,STX,2018
Sanju,FIP,2018
Book Club,Par.,2018
12 Strong,WB,2018
"Love, Simon",Fox,2018
Mile 22,STX,2018
Life of the Party,WB (NL),2018
Isle Of Dogs,FoxS,2018
Adrift,STX,2018
The 15:17 to Paris,WB,2018
Early Man,LGF,2018
Peppermint,STX,2018
Teen Titans Go! To The Movies,WB,2018
Slender Man,SGem,2018
Breaking In (2018),Uni.,2018
Once Upon a Deadpool,Fox,2018
The Son of Bigfoot,VPD,2018
Uncle Drew,LG/S,2018
Tyler Perry's Acrimony,LGF,2018
Mary Queen of Scots,Focus,2018
The Possession of Hannah Grace,SGem,2018
Overlord,Par.,2018
The Darkest Minds,Fox,2018
Holmes and Watson,Sony,2018
Show Dogs,Global Road,2018
On the Basis of Sex,Focus,2018
Namiya,CL,2018
The Girl in the Spider's Web: A New Dragon Tattoo Story,Sony,2018
The Hate U Give,Fox,2018
Death Wish (2018),MGM,2018
Nobody's Fool,Par.,2018
Bad Times At The El Royale,Fox,2018
Baaghi 2,FIP,2018
The Happytime Murders,STX,2018
Midnight Sun,Global Road,2018
Pad Man,Sony,2018
Monster Family,VPD,2018
White Boy Rick,Studio 8,2018
Winchester,LGF,2018
The Death of Stalin,IFC,2018
Strangers: Prey at Night,Aviron,2018
"Paul, Apostle of Christ",Affirm,2018
Padmaavat,VPD,2018
Proud Mary,SGem,2018
Superfly,Sony,2018
If Beale Street Could Talk,Annapurna,2018
Burn the Stage: The Movie,Trafalgar,2018
Detective K: Secret of the Living Dead,WGUSA,2018
The Wife,SPC,2018
Hell Fest,LGF,2018
Chappaquiddick,ENTMP,2018
They Shall Not Grow Old,WB,2018
Free Solo,NGE,2018
The Children Act,A24,2018
Beautiful Boy (2018),Amazon,2018
Hunter Killer,LG/S,2018
Tully (2018),Focus,2018
Unfriended: Dark Web,BH Tilt,2018
Upgrade,BH Tilt,2018
Unsane,BST,2018
The Sisters Brothers,Annapurna,2018
Welcome to Marwen,Uni.,2018
Hotel Artemis,Global Road,2018
Marrowbone,Magn.,2018
102 Not Out,Sony,2018
Boy Erased,Focus,2018
Back to Burgundy,MBox,2018
The Bookshop,Greenwich,2018
The Old Man & the Gun,FoxS,2018
Gringo,STX,2018
Golden Slumber,CJ,2018
Kin,LGF,2018
The Big Bad Fox and Other Tales,GK,2018
Traffik,LGF,2018
Can You Ever Forgive Me?,FoxS,2018
7 Days in Entebbe,Focus,2018
Pope Francis - A Man of His Word,Focus,2018
Condorito: La Pelicula,LGF,2018
Suspiria,Amazon,2018
Disobedience,BST,2018
Qué León (What A Lion),Spanglish,2018
Life Itself (2018),Amazon,2018
Beirut,BST,2018
Return of the Hero,Distrib.,2018
Soorma,Sony,2018
The Hurricane Heist,ENTMP,2018
Every Day (2018),Orion,2018
Leave No Trace,BST,2018
My Hero Academia: Two Heroes,FUN,2018
Destroyer,Annapurna,2018
Madame,Blue Fox,2018
Colette,BST,2018
Blindspotting,LG/S,2018
Cold War (2018),Amazon,2018
Papillon (2018),BST,2018
Gotti,VE,2018
The Mercy,Scre.,2018
Hichki,Yash,2018
Ya Veremos,PNT,2018
Don't Worry He Won't Get Far on Foot,Amazon,2018
A Private War,Aviron,2018
Ben is Back,RAtt.,2018
Bad Samaritan,Electric,2018
Gauguin: Voyage to Tahiti,Cohen,2018
Shoplifters,Magn.,2018
The Front Runner,Sony,2018
2001: A Space Odyssey (2018 re-release),WB,2018
Wildlife,IFC,2018
La Boda de Valentina,PNT,2018
You Were Never Really Here,Amazon,2018
Billionaire Boy's Club,VE,2018
The Rider,SPC,2018
Mary and the Witch's Flower,GK,2018
Bilal: A New Breed of Hero,VE,2018
A Fantastic Woman,SPC,2018
MET Opera: La Traviata,Fathom,2018
Capernaum,SPC,2018
I Still See You,LGF,2018
Finding Your Feet,RAtt.,2018
Never Look Away,SPC,2018
Maria by Callas,SPC,2018
Mandy,RLJ,2018
Andhadhun,Eros,2018
Lean on Pete,A24,2018
Nothing to Lose (2018),Swen,2018
Raid (2018),Eros,2018
The Insult,Cohen,2018
Little Italy,EOne,2018
The Catcher Was a Spy,IFC,2018
The Miseducation of Cameron Post,FR,2018
Kedarnath,PackYourBag,2018
Schindler's List (2018 re-release),Uni.,2018
Mirai,GK,2018
Beast,RAtt.,2018
Pokemon the Movie: The Power of Us,Fathom,2018
The Party (2017),RAtt.,2018
Burning,WGUSA,2018
Foxtrot,SPC,2018
The Sound of Music (2018 re-release),Fathom,2018
The Big Lebowski (20th Anniversary),Fathom,2018
Manmarziyaan,Eros,2018
Loveless (2018),SPC,2018
Tommy Wiseau's The Room,Fathom,2018
Fireworks (2018),GK,2018
The Spy Gone North,CJ,2018
The Happy Prince,SPC,2018
Final Portrait,SPC,2018
Bag of Marbles,Gaum.,2018
Vertigo (60th Anniversary),Fathom,2018
Oh Lucy!,FM,2018
Mountain,Greenwich,2018
Time Freak,Grindstone,2018
What They Had,BST,2018
Batti Gul Meter Chalu,Eros,2018
Borg vs. McEnroe,Neon,2018
Matangi/Maya/M.I.A.,Abr.,2018
Mazinger Z: INFINITY,Fathom,2018
Fate/Stay Night: Heaven's Feel - I. Presage Flower,Fathom,2018
Summer 1993,Osci.,2018
Maquia: When the Promised Flower Blooms (Subtitled),Elev.,2018
Karwaan,PackYourBag,2018
Last Letter,CL,2018
The Accidental Detective 2: In Action,CJ,2018
The Guardians,MBox,2018
Luis & the Aliens,VPD,2018
Double Lover,Cohen,2018
Ghost Stories,IFC,2018
Museo,Vita.,2018
The Little Mermaid (2018),Conglomerate,2018
The Young Karl Marx,Orch.,2018
Becoming Astrid,MBox,2018
Ryuichi Sakamoto: Coda,MUBI,2018
Gonjiam: Haunted Asylum,WGUSA,2018
Take Point,CJ,2018
The Dawn Wall,Orch.,2018
The Negotiation,CJ,2018
The Captain,MBox,2018
Mary Shelley,IFC,2018
In Between,FM,2018
Namaste England,Eros,2018
Happy Phirr Bhag Jayegi,Eros,2018
Ismael's Ghosts,Magn.,2018
Revenge (2018),Neon,2018
Unstoppable (2018),WGUSA,2018
Reign of Judges: Title of Liberty - Concept Short,Darin Southa,2018
The Third Murder,FM,2018
The House That Jack Built,IFC,2018
Custody,KL,2018
Godard Mon Amour,Cohen,2018
Just a Breath Away,EOne,2018
Mukkabaaz,Eros,2018
Keys to the Heart,CJ,2018
Tehran Taboo,KL,2018
The Last Suit,OutF,2018
"Nico, 1988",Magn.,2018
Antonio Lopez 1970: Sex Fashion & Disco,FM,2018
Helicopter Eela,Eros,2018
Under the Tree,Magn.,2018
Before We Vanish,Super,2018
I Am Not a Witch,FM,2018
Racer & the Jailbird,Super,2018
Rodin,Cohen,2018
What Will People Say,KL,2018
A Ciambra,IFC,2018
Oolong Courtyard,CL,2018
Girls vs Gangsters,WGUSA,2018
"No Date, No Signature",Distrib.,2018
The Apparition (2018),MBox,2018
The Charmer,FM,2018
Elliot: The Littlest Reindeer,Scre.,2018
The Workshop,Strand,2018
Loving Pablo,Uni.,2018
A Paris Education,KL,2018
Tag Along: The Devil Fish,CL,2018
Gabriel and the Mountain,Strand,2018
Marlina the Murderer in Four Acts,Icar.,2018
The Escape,IFC,2018
How Victor 'The Garlic' Took Alexey 'The Stud' to the Nursing Home,CARUSEL,2018
"Lou Andreas-Salomé, the Audacity to be Free",CLS,2018
Let Yourself Go,Men.,2018
Hannah (2018),PDF,2018
Souvenir,Strand,2018
Furious (Legend of Kolovrat),CARUSEL,2018
Beauty and the Dogs,Osci.,2018
The Quake,Magn.,2018
Edward II (2018 re-release),FM,2018
El Pacto,Sony,2018
The Swan,Synergetic,2018
An Actor Prepares,Grav.,2018
