genres,return_ratio,year
Action,2.8624966368421054,2013
Adventure,2.8624966368421054,2013
Horror,2.8624966368421054,2013
Action,1.6989779578947368,2013
Adventure,1.6989779578947368,2013
Sci-Fi,1.6989779578947368,2013
Adventure,1.4365768373333334,2015
Animation,1.4365768373333334,2015
Comedy,1.4365768373333334,2015
Adventure,3.280479535135135,2012
Animation,3.280479535135135,2012
Comedy,3.280479535135135,2012
Action,2.941215518918919,2017
Adventure,2.941215518918919,2017
Fantasy,2.941215518918919,2017
Action,1.673786881081081,2016
Adventure,1.673786881081081,2016
Sci-Fi,1.673786881081081,2016
Drama,0.8995219837837838,2017
Mystery,0.8995219837837838,2017
Sci-Fi,0.8995219837837838,2017
Action,5.455768405555555,2017
Adventure,5.455768405555555,2017
Comedy,5.455768405555555,2017
Action,4.5552447944444445,2014
Adventure,4.5552447944444445,2014
Family,4.5552447944444445,2014
Action,1.6419171444444445,2016
Adventure,1.6419171444444445,2016
Drama,1.6419171444444445,2016
Adventure,0.41062383888888887,2011
Drama,0.41062383888888887,2011
Family,0.41062383888888887,2011
Action,0.4198762555555556,2017
Adventure,0.4198762555555556,2017
Fantasy,0.4198762555555556,2017
Action,0.28192758659217876,2015
Adventure,0.28192758659217876,2015
Sci-Fi,0.28192758659217876,2015
Action,2.921236151685393,2016
Adventure,2.921236151685393,2016
Sci-Fi,2.921236151685393,2016
Action,2.7919913314606744,2018
Horror,2.7919913314606744,2018
Sci-Fi,2.7919913314606744,2018
Action,1.6446489438202248,2014
Sci-Fi,1.6446489438202248,2014
Adventure,5.918272588571429,2015
Animation,5.918272588571429,2015
Comedy,5.918272588571429,2015
Action,5.9392428,2017
Adventure,5.9392428,2017
Sci-Fi,5.9392428,2017
Action,5.120913948571428,2016
Adventure,5.120913948571428,2016
Fantasy,5.120913948571428,2016
Adventure,4.758480662857143,2017
Animation,4.758480662857143,2017
Comedy,4.758480662857143,2017
Adventure,2.0653856228571428,2017
Animation,2.0653856228571428,2017
Comedy,2.0653856228571428,2017
Action,0.021745154285714285,2017
Adventure,0.021745154285714285,2017
Drama,0.021745154285714285,2017
Action,0.08616737142857143,2013
Adventure,0.08616737142857143,2013
Drama,0.08616737142857143,2013
Action,9.13819152352941,2018
Adventure,9.13819152352941,2018
Sci-Fi,9.13819152352941,2018
Action,5.494350752941177,2014
Adventure,5.494350752941177,2014
Comedy,5.494350752941177,2014
Action,4.491704235294118,2010
Adventure,4.491704235294118,2010
Sci-Fi,4.491704235294118,2010
Action,4.7302873352941175,2014
Adventure,4.7302873352941175,2014
Sci-Fi,4.7302873352941175,2014
Action,4.4070009117647055,2014
Adventure,4.4070009117647055,2014
Drama,4.4070009117647055,2014
Action,2.271520594117647,2012
Adventure,2.271520594117647,2012
Drama,2.271520594117647,2012
Action,0.7650814117647059,2015
Adventure,0.7650814117647059,2015
Family,0.7650814117647059,2015
Adventure,1.0821793705882352,2016
Family,1.0821793705882352,2016
Fantasy,1.0821793705882352,2016
Adventure,5.030190666666667,2010
Animation,5.030190666666667,2010
Comedy,5.030190666666667,2010
Action,4.509372642424243,2016
Adventure,4.509372642424243,2016
Fantasy,4.509372642424243,2016
Action,4.30094336969697,2014
Adventure,4.30094336969697,2014
Animation,4.30094336969697,2014
